Vragen,Antwoorden
"In wat voor huis woon je?","Ik woon in een rijtjeshuis"
"Hoeveel kamers heeft je huis?","Mijn huis heeft vier kamers"
"Heb je een balkon of een tuin?","Ik heb een tuin"
"In wat voor buurt woon je?","Ik woon in een rustige buurt"
"Met wie woon je?","Ik woon met mijn gezin"
"Ben je blij met je huis?","Ja, ik ben blij met mijn huis"
"In wat voor huis wil je graag wonen?","Ik wil graag in een groot appartement wonen"
"Hoeveel huur wil je betalen?","Ik wil maximaal 1000 euro huur betalen"
"Hoe groot is je huis?","Mijn huis is ongeveer 100 vierkante meter"
"Welke meubels heb je in je huis?","Ik heb een bank, een tafel, een tv-meubel, twee stoelen en een bureau"
"Zijn je meubels groot of klein?","Mijn meubels zijn klein"
"Vind je je meubels mooi?","Ja, ik vind mijn meubels mooi"
"Zijn jouw meubels nieuw of tweedehands?","Sommige meubels zijn nieuw en sommige meubels zijn tweedehands"
"Welke kleuren heb je in je huis?","Ik heb pastelkleuren in mijn huis"
"Heb je veel licht in je huis?","Ja, ik heb veel licht in mijn huis"
"Heb je een huurwoning of een koopwoning?","Ik heb een koopwoning"
"Woon je in een stad of in een dorp?","Ik woon in een kleine stad"
